@RELATION sentiment_analysis

@ATTRIBUTE cleaned_review STRING
@ATTRIBUTE sentiment {negative,positive}

@DATA
'defective phone works two days phone flickering screen doesnt responding couldnt even open slide unlock key wish could give 0 star poor customer service dont buy seller mindful',negative
'beautiful excellent quality',positive
'gave 3 stars come charger box battery already half way gone first turned thought broke screen clarity think worth much doesnt come needed accessories sim card welli couldve brought new phone together',negative
'high resolution camera zoom picture taken print still looks perfect features many premium phones less half pricethis phone stansmits texts send receive locations log file activity china none activity disclosed owners',negative
'excelente',positive
'worked fine functional like every bb nothing special complaints',positive
'excellent phone exceeded expectations',positive
'bought phone worked great entire time owned stopped working dropped water reading lot reviews low sound speaker thought id give heads get phone plastic clear sticker covering speaker back make sure take lr quiet soon removed mine phone extremely loud clear',positive
'purchased right month ago love took day two get used features became fast friends ding scratch little nervous refurbished first save money great deal great device',positive
'works wonderful argentina looks like brand new device least couldnt notice difference fake chinese version original',positive
'love phone charges stays charged much faster iphone previously',positive
'nice device ads intrusive get ads 50 dollars discount worth',positive
'worst phone ever bought could apply ring tone ring tone came phone able set picture profiles anyone called tmobile told phones discontinued reasons returned phone first place mention pay return shipping two 2 weeks refund processed would advise anyone',negative
'great phone charges quickly responds immediately commands good camera also',positive
'sony experia xpected intended use oversea person happy',positive
'received phone time pedi blank came black',negative
'phone good love android lollipop',positive
'excitement begins unboxingamazing box packingprosincredible multitaskergood design builtboth cameras good work flawlessly good night time photosnice ui better get launchercomes preinstalled screen guardsuperb gaming experiencevery nice screen resolution displayconsbattery back moderateupdateusing phone around one monthbatterymy impression battery takes charging cycle work full potential days terrible battery back getting around 15 18 hours battery backup wifi 4g lte auto brightness mode remember 10th day phone took phone charging 10 wifi 4g lte used gps navigation hour streamed youtube video 3 hrs one hour gaming listened audio songs two hours 1 night battery 18 takes battery tune best performance good days done easily last day moderate usecamerathe quality camera photos taken subjected different views opinions depending previous smartphone used somebody crying camera quality heshe mus using flagship phones however somebody using smartphone first time phone comes upgrade hisher previous phone person happy camera 13 megapixel camera shoots amazing photos even photos night dim light dark fantastic graining photos one friend surprised see photos taken complete darkness uses nexus 5 5 mp front camera perfect job selfiesif cannot reach button take selfie holding phone go setting camera switch option capturing smile give smile need pressing button hold phone positionprocessorhardware performancethis phone powered tried tested qualcomm snapdragon 615 processor amazing thing phone comes 15 ghz octacore processor since student pursuing phd hardly play games aware high end gaming phone play nfs limits often even facebook messenger messaging whatsapp game working time hundred mb ram always available phone never seems lag moderate light use like using navigation messenger facebook whatsapp time phone lag transition one app another fluid sometimes phone hanged second two started working usual hardware performance geek go website offering technical reviews based different test numbers give better idea array sensors includes accelerometer compass gps agps glonass proximity sensor gyroscopesoftwareamazon website says comes kitkat fortunately got preinstalled lollipop spiced huaweis emotion ui emotion ui light inspired ios show apps homescreen like went play store installed launcher using nova launcher ui fluid transitions animations good overwhelm base android experience fortunately huawei professional stuff phone bloatwares preloaded apps got flashlight voice recorder phone managerback etc really helpful never wanted uninstall battery guzzlerscreenit bliss 720p display bad sounds watching casual videos complete movies fun photos clear look never pixelsif want see get good magnifying glass otherwise screen amazingdesign feeldesign nice simple basic yet attractive feel plasticky cheap phone light sometime give satisfaction holding phone tends slip hand get used grip days use feels nice hand unbelievably light weight rugged therefore recommend rugged dual layer back cover phone dont worry screen though comes preinstalled screen protector phone corning gorilla glass 3 literally scratch proof shatter proof one reason get good back cover increase overall weight phone good reasonmiscellaneousthis phone wonderful huge upgrade previous lumia 520 512 mb ram 840p display worked wonderful 25 years win 81 update started lag camera went bad nut rugged compared new p8 lite dropped many times height 5 6 feets screen never broke single scratch 25 years without screen protectormy new huawei everything missing lumia 520 camera megapixels better sensors dual flashfront camera 2 gb ram lag free performance larger 5 screen last least androidmy friends asus zenfone 2 moto g3 phone betters p8 lite terms battery back asuss larger screen motos stock android waterproof abilitieshowever terms performance even closer p8 lite asus stalled performance zenfone many preinstalled apps even though better specificationsmoto g3 looks better aspects friend started complaining phones hanging despite 2 3 gb ram p8 lite never seems hang using month hanged stuttered twice got without external input started working usual fantastic way plus huawei offers 2 years warranty even problems dont worry phone dedicated call center products plus phone also preinstalled app call support phone comes dual sim abilities supports 4g lte also memory card slot support card upto 128 gb huawei made arrangements may run data run space store transfer apps sd card overall complete package recommend friends family price around 210 one comes around',positive
'great phone',positive
'defective dont buy',negative
'blue nice phone',positive
'happy although wish came instructions english came chinese one thanks',positive
'good phone advertised carrier unlocked notim happy good noot good',negative
'take sim card 1 tightwhats cell phone cant display chinese text messages',negative
'excellent price sharp pics excellent audio',positive
'love phablet use calls surfing internet watching videos size price perfect',positive
'iphone arrived within 2 days excellent condition couldnt find minor scratches mentioned description unlocked promised connected tmobile soon inserted sim card activated phone synced itunes pleased purchase',positive
'freezes alot comparing vivo xl takes awful pictures front cam fone beautiful works well',positive
'love phone came highly recommended replaced chip using soonthanks planning purchasing another gift',positive
'friend diego',positive
'overall im really happy brought unlocked att phone straight talk byop program part issues one big problem upgrading kit kat lollipop update kept failing bring best buy get update solved issues like kept forgetting wifi passwords gps tracking problems also lot att bloatware thing advice dont upgrade root flash custom rom like get rid bloatwareive dropped bunch times thing broke far samsung memory card still pissed samsung dragging butt warranty claim one',positive
'love phone dont buy avianna llc',positive
'fully unlocked use tethering network att',negative
'good phonewhen gets hot function also charging portis frailand stopped working three months phone chargethis cheaply made phone short shelf lifei dissatisfied hoping get year',negative
'excelente cellphone',positive
'bought phone little sistershe lves draw thought spen awesome features phone perfect well loves gotten bunch different apps drawing uses homework anything else might need screen perfect size watching movies shows makes wanna trade gs3 one',positive
'quick reliable phone',positive
'extremely fast shipping great phone',positive
'need talk text smart phone perfect price right contract tie downand face youre sure kid responsible losing point either anyhow worries unlimited access internet didnt give data usage blocked ability send receive photos talk text needsnow thrilled phone ridiculous reasons coming 12 year old need one seemed include alien abduction least smart enough put mom friends one list reasons',positive
'completely satisfied',positive
'exelente',positive
'work good thank love lumia 920 3',positive
'phone excellent used condition scratches anything good price compared seeing even refurbished phones',positive
'much say said already one best phones ever used phone extremely efficient multi tasking ok games waiting room really smooth experience problems 1 wish screen brighter direct sunlight fair phone used ever passed test though 2 half way 2015 still lollipop big deal still camera hit miss somtimes takes good pictures sometimes doesnt fool get decent photo convenient like flicking wrist snapping shot fluid fooling around standing auto hdr crap aside great phone well made probably get another moto x time coes really like phone offer sticking x line awile',positive
'good smartphone price definitely recommend',positive
'refurbished iphone least one flaw',negative
'love',positive
'45 days htc smartphone presenting problem rear camera working check htc told problem hardware take chcek buy smartphone please need solution',negative
'thank u phone excelled perfect business job everything works good one time thank u',positive
'bought christmas gift brother loves im glad waterproof dustproof kind clumsy forgetful times bought xperia l two years ago amazon still works fine shows age one makes want get newer one',positive
'great cheap phone bought 3 gifts relatives require latest greatest quite happy surprised quality cameras great price',positive
'great phone good mix android apple really good cell phone',positive
'ross cellular excellent job taking care customers needs adjustments product meets expectations',positive
'bought phone working good great phone u use business like phone got phone wondering cellphone comes memory card mine doesnt came one everything excellent product',positive
'good',positive
'holds battery well download tons apps problems phone case doable sometimes battery get hot charging nothing major gold color causes people assume iphone would recommend purchasing',positive
'great phone great value',positive
'love phone',positive
'doesnt sink phone',negative
'excellent gadget',positive
'excelente',positive
'sucks broke week dont buy cheap phone',negative
'bought phone year ago first nonbb smartphone worked pretty well last year pretty satisfied overallthings didnt like battery life started ok 89months struggling get day without charging without heavy user never used music movies streaming games etc disliked could mark sms unread deal later despite first motorola phone close 15years ago disliked could addchange alarm ring tones leaving alarm key feature phone choice mostly horrible uninspiring tinny electrical noisesthing really didnt like 1 year 2 weeks purchase eg warranty ran phone completely died without warning previous problems phone randomly turned day black screen boots far motorola logo stays hours datafiles googlelinked lost get get boot menu options return motorola logo happy',negative
'support support question support disconnected explain problems get moto e problems',positive
'nice price big',positive
'great phone fast sony products works great playstation tv great buy well worth money',positive
'love',positive
'great fone works career unlocked nice feeling hand iwill definitely recommend product',positive
'bought phone brother pakistan liked much good usa country well',positive
'c6833 unlocked international many different xperia z ultra listings afraid would buy wrong one arrived live boise id took tmobile sim card current phone placed z ultra came took minutes figure select provider even seems like 30 minutes passed could figure turn data anyway got figure works using lte little symbol reception bars says installed ooklas speed test got 69mbs download cant get time maybe fluke exceeded 50 couple times always get 20 point using lte network happy feel huge nice display found newsgroups say upgraded lollipop android 50 currently 444 works great ordered charging cradlesdocs amazon zultra 20 way wont need peel back waterproof cover usb port night charge days charge lasted day without getting low stayed 50 new always fiddling pretty good battery happy works tmobile',positive
'excelent product 100 recomend',positive
'like phone',positive
'1st windows phone like alot dont like wlan hotspot though',positive
'new phonerenovationi hope help youfrom exterior view goodplease see upload pictures september purchase mobile phone june system folder',negative
'product good quality',positive
'great case awhile since ive using case broken phone still great shape',positive
'defender wellmade good fit iphone 5s port covers provide good protection nuisance peel back access tend roll silicone case away phone since case fully sealed anyway cut mine quite happy others mentioned case bit large provides excellent protection dont trouble getting pants pockets',positive
'perfect thing color wanted black',positive
'iphone locked described',negative
'great basic replacement phone mother want boundenslaved two year contract',positive
'purchased advertised new iphone pretty shocked opened box found filthy greasy mess phone new handled someone eating fried chicken similar protective cover removed poorly replaced complete greasy fingerprints disgusting',negative
'nice phone great sound',positive
'great phone price minus fact phone die 2 hours use phone 3 months phone completely useless save money buy name brand phone finding replacement parts phone impossible',negative
'great build fantastic camera phone battery lasts 3 days stamina mode light usage calls emails plus waterproofingreally liked sony customizations androidon cons side screen seems antistatic coating attracts lot dust loudspeaker really weak awful audio quality guess due waterproofing kinda plastic feel plastic lacks substantial feel',positive
'great phone great condition son happy',positive
'like works fine doesnt work lte mobilewhich carrier us connects hspda also know comes 220v charger usb cable',positive
'dual sim im us easy send back',negative
'excellent phone elegant love thing wrong sent european adapter rest great',positive
'es una muy buena adquisición con muy buena velocidad la batería aguanta todas las exigenciasrecomendado',positive
'excellent works perfect argentina',positive
'crack screen',negative
'cell phone worked fine first pleasing eye responds well working turn try entering recovery mode impossible battery charge connecting charging adapter cell phone seems overheati need return spent two months since sent country amazon allow return venezuela making difficult send back hope company responds',negative
'phone perfect bought wife screen amazing never got stuck heavy usageit galaxy s6 way better s4',positive
'doesnt even count full star put phone takes several tried get charger register device doesnt allow charge phone protective case charges really slowly messed battery right away wouldnt charge normal charger correctly within days point completely factory reset phone thankfully fixed problem used never used waste 30',negative
'good',positive
'liked phone unfortunately ship back due able switch sprint service everything else phone great including appearance performance phone',positive
'far good purchased phone son ii used earlier model phone loved decided get another one',positive
'works fine',positive
'phone came two business days ordered minor scratches corners little banged didnt matter going case anyway functions perfectly described case would assume brand new dont want case want mint condition wouldnt recommend buying condition major concern worth get pay foramazing price',positive
'day wouldnt power',negative
'love color unlocked',positive
'good light afgordable',positive
'literally says get sim card problem received faster thought would makes world difference',positive
'cell phone looking previously moto g 2014 limited term resources almost 36h 4h screebñnthe heat issue initially detected solved last firmware release',positive
'good phone',positive
'ordered two phones brand new products arrived ontime good condition working well straight talk account issues battery life phone use runs within day dont use phone much work hours 85pm time leave work recharge car way home even phone set battery saver followed instructions preserve battery still needs recharged end day everything else phone pretty awesome',positive
'phone soooo slow invest money better phones worth',negative
'best product',positive
'really like phone looking affordable smart phone hours research coming decision buy moto g plus ive months havent encountered problems',positive
