Product Name,Brand Name,Price,Rating,Reviews,Review Votes
Apple iPhone 6 Plus 128GB Factory Unlocked GSM 4G LTE Cell Phone - Gold,,699.95,1,Defective phone. Works only for two days. Phone is flickering and the screen doesn't responding. Couldn't even open the slide to unlock key. I wish I could give 0 star. Poor customer service. Don't buy from this seller. Just be mindful.,5.0
HTC Desire 816 Dual Sim Unlocked Smartphone (White) LTE 900 / 1800 / 2100 / 2600 - International Version No Warranty,HTC,221.0,3,Cool,0.0
"BLU Studio 5.0 C HD Unlocked Cellphone, Black",BLU,173.44,5,Beautiful and excellent quality,1.0
Apple iPhone 5c 16GB (Pink) - AT&T,Apple,519.0,2,Gave 3 stars because it did not come with a charger or box. The battery was already half way gone. When I first turned it on I thought it was broke the screen clarity was off. I think it's not worth that much and it doesn't come with the needed accessories. No sim card as well...i could've just brought a new phone all together!,0.0
BLU PURE XL Smartphone - 4G LTE GSM Unlocked - 64GB +3GB RAM - Grey,BLU,129.99,1,"High resolution camera so you can zoom in after the picture was taken, print it out and it still looks perfect. It has features of many premium phones for less than half the price.This phone stansmits all texts you send and receive, locations and log file of activity to China. None of this activity is disclosed to owners.[...]",1.0
Huawei G520 Dual Sim Quad-Core MT6589 1.2GHz 4.5 inch IPS Android 4.1 GPS WCDMA Smartphone,Huawei,99.9,5,excelente,0.0
Samsung Galaxy S4 i9505 16GB LTE Unlocked International Version White,Samsung,168.68,3,"Audio port does not work, brand new phone. Then the phone started going into startup mode on it's own and is stuck in start up mode. Have to take the battery out and let it sit for an hour or two...not good. Followed factory reset steps and it only worked twice; factory reset no longer gets it out of restart mode. sending back....other than that it was a wonderful phone for my use; light and user friendly for someone who is not a tech geek. Photos are amazing with this phone.",0.0
"BlackBerry Classic Factory Unlocked Cellphone, Black",BlackBerry,149.99,5,Worked fine. Functional like every other bb. Nothing special but no complaints,0.0
"BLU VIVO 5 Smartphone -5.5"" 4G LTE GSM Unlocked - 32GB +3GB RAM - Gold",BLU,199.99,5,Excellent phone. Exceeded my expectations,2.0
BLU Energy X Plus Smartphone - With 4000 mAh Super Battery- Global GSM Unlocked - Grey,BLU,139.0,5,"I bought this phone and it worked great the entire time I owned it. It only stopped working after I dropped it In water. After reading a lot of the reviews about low sound speaker I just thought I'd give a heads up that when you get the phone there is a plastic clear sticker covering the speaker on the back. Make sure you take it off lr it will be very quiet, as soon as I removed mine the phone was extremely loud and clear",0.0
"LG KE850 Prada Unlocked Phone with Touchscreen, 2 MP Camera, MP3/Video Player, and MicroSD Slot--International Version with No Warranty (Black)",LGIC,400.0,3,"Great flashly, functional phone with limted range of features. If you DON'T want an all-in-one (organizer,ipod w/ video,internet,e-mail) this is the phone for you. However, I quickly bucked up and upgraded to a cingular iphone (had cingular customer buy one on his account) i then unlocked for t-mobile. Don't buy an unlocked iphone, largely for finacial purposes but also you want to learn how to upgrade your own unlocked iphone. Iphone is the only phone with an operating system constantly upgrading and improving so you want to give your self that ability and save $300+ at the same time. Hope this helps...",1.0
Apple Smart Watch Sport 38mm - Stainless Steel/White (Certified Refurbished),Apple,269.99,5,"I purchased this right at a month ago and love it. It took me a day or two to get used to features but, we became fast friends. There was not a ding or scratch on it. I was a little nervous about it being refurbished at first but save the money. Great deal, great device!",0.0
"Samsung Galaxy S4 Mini GT-i9195i Unlocked Cellphone, Retail Packaging, White Frost",Samsung,276.37,5,"Works wonderful from Argentina, this looks like a brand new device, at least I couldn't notice a difference. This is not the fake Chinese version, it's original.",0.0
"Samsung Galaxy S5 SM-G900A GSM Unlocked Cellphone, 16GB, Blue",samsung,172.0,5,Love this phone! It charges and stays charged much faster than the iPhone I previously had.,0.0
Moto G Play (4th gen.) - Black - 16 GB - Unlocked - Prime Exclusive - with Lockscreen Offers & Ads,Motorola,149.99,5,"Nice device, and the Ad's are not intrusive at all, get Ad's for a $50 dollars discount, it worth for me...",0.0
"T-Mobile Motorola sidekick Q700 - SLIDER, QWERTY, CAMERA phone - No contract phone",Motorola,17.5,1,"I was the worst phone I have ever bought. I could not apply my own ring tone, it had to be a ring tone that came with the phone. I was not able to set picture profiles for anyone. When I called TMobile, they told me these phones were discontinued for the reasons I returned the phone in the first place. Not to mention I had to pay the return shipping, and it two over 2 weeks for my refund to be processed. I would NOT advise anyone to but it!!!",3.0
"Samsung Galaxy Grand Prime G531H/DS International Version Unlocked Cellphone, Retail Packaging, Gray (International Version)",Samsung,189.9,4,"Great phone! It charges quickly and responds immediately to commands. Good camera, also.",0.0
"Sony Xperia E1 D2004 Unlocked GSM 4"" Android Dual-Core Smartphone - Black (International Version)",Sony,53.41,5,"The Sony experia, is what I xpected and is intended for use oversea and the person is happy with it",4.0
"Samsung Galaxy Star Pro DUOS S7262 Unlocked Cellphone, White",,249.99,1,"I received the phone on time, but pedi blank and I came in black",0.0
BLU Studio 7.0 II -Unlocked Smartphone - US GSM - Grey,BLU,71.05,5,Phone is very good. Love Android Lollipop,0.0
"Huawei P8 Lite US Version- 5 Unlocked Android 4G LTE Smartphone - Octa Core 1.5GHz, Dual SIM, Gorilla Glass, 13MP Camera - White (U.S. Warranty)",Huawei,198.99,4,"Excitement Begins with unboxing!Amazing box and packing!Pros:-Incredible multi-tasker.-Good design and built.-Both cameras are good. Work flawlessly. Good night time photos.-Nice UI. But better get a launcher.-Comes Preinstalled with screen guard.-Superb gaming experience.-Very nice screen , resolution and display.Cons:-Battery back up is moderate.Update::Using this phone for around one month.Battery:My impression is the battery takes few charging cycle to work to its full potential. After few days of terrible battery back up i am getting around 15 to 18 hours of battery back-up when my wi-fi, 4g lte are on with auto on brightness mode . I remember it was my 10th day with the phone. I took out phone from charging at 10 a.m. wi-fi 4g lte both on. Used gps and navigation for an hour, streamed youtube video for 3 hrs. one hour of gaming. listened to audio songs for two hours and at 1 a.m. in the night battery was 18 %. So it takes battery to tune to its best performance a few good days. But it is done it will easily last a day of moderate use.Camera:The quality of camera and photos taken by it are subjected to different views and opinions depending on the previous smartphone you used. So if somebody is crying over camera quality he/she mus be using flagship phones. However, if somebody is using smartphone for first time or this phone comes as a upgrade to his/her previous phone then the person will be more than happy for the camera. The 13 megapixel camera shoots amazing photos. Even photos in night or in dim light or dark are fantastic. No graining of photos. One of my friend was surprised to see the photos taken in complete darkness and he uses nexus 5. 5 MP front camera does perfect job for selfies.If you cannot reach the button to take selfie while holding the phone just go to the setting in camera and switch on the option of capturing the smile. Just give a smile and no need of pressing any button. Only you have to do is hold the phone in position.Processor(hardware) and performance:This phone is powered by tried and tested Qualcomm Snapdragon 615 processor. Amazing thing to have on your phone! It comes with 1.5 Ghz OCTA-core processor. Since i am a student (pursuing my PhD) i hardly play games . So not aware about high end gaming on this phone. But i do play NFS no limits more often. Even with facebook, messenger, messaging, whatsapp and the game working on same time, few hundred MB ram is always available phone never seems to lag. For moderate and light use like using navigation , messenger, facebook, whatsapp on on the same time the phone will not lag. Transition from one app to another is very fluid. Sometimes phone hanged for a second or two but started working as usual after that. If you are a hardware and performance geek then go to some website offering technical reviews based on different test and numbers. It will give better idea. It has array of sensors which includes Accelerometer, Compass, GPS, A-GPS, GLONASS, Proximity Sensor and gyroscope.Software:Amazon website says it comes with kitkat but fortunately i got it with pre-installed lollipop spiced up by huawei's emotion UI. The emotion UI is light and is inspired from ios. It will show your apps on the homescreen. I did not like it. So went to the play store and installed launcher. ( Now i am using nova launcher). The UI is very fluid , transitions and animations are good too. This does not overwhelm the base android experience. Fortunately Huawei is professional and do not stuff your phone with bloatwares. The only preloaded apps i got were flashlight, voice recorder, phone manager,back up etc. Really helpful! Never wanted to uninstall them nor are they battery guzzler.Screen:It is a bliss. 720p display is not bad as it sounds. Watching casual videos, complete movies is a fun. Photos are very clear to look at. You will never pixels.If you want to see them get a very good magnifying glass. Otherwise screen is very amazing.Design and feel:Design is nice , simple and basic and yet attractive. The feel is plasticky but not cheap. The phone is very light and sometime does not give you satisfaction of holding your phone. Tends to slip from hand until you get used to the grip. After few days of use feels nice in hand. It is unbelievably light weight. But not rugged. Therefore i will recommend some rugged dual layer back cover for the phone. You don't have to worry about screen though as it comes pre-installed with a screen protector. And phone has Corning Gorilla glass 3. Literally scratch proof but not shatter proof. One more reason to get a good back cover! This will increase the overall weight of the phone for good reason.Miscellaneous:This phone is wonderful. This a huge upgrade over my previous lumia 520. It had 512 MB ram 840p display. Worked wonderful for 2.5 years but with win 8.1 update it started to lag. Camera went bad. Nut it was rugged as compared to my new p8 lite. Dropped it for many times over height of 5 to 6 feets. Screen never broke. Just a single scratch in 2.5 years without any screen protector.My new huawei has everything which was missing on lumia 520. Camera with more megapixels and better sensors, dual flash,front camera, 2 gb ram , lag free performance, larger 5"" screen. And at last but not the least android.My friends have asus zenfone 2 , moto g3. These phone only betters p8 lite in terms of battery back up , asus's larger screen and moto's stock android and waterproof abilities.However in terms of performance they are not even closer to P8 lite. Asus has stalled the performance of zenfone with many pre-installed apps even though it has better specifications.Moto g3 looks better in some aspects. But my friend started complaining that there phones are hanging despite of 2 or 3 gb of ram. The p8 lite never seems to hang . I am using for a month. Hanged or stuttered twice. But got out of it without any external input from me and started working as usual that is in fantastic way. Plus huawei offers 2 years of warranty. Even if you have any problems you don't have to worry about your phone. They have dedicated call center for their products. Plus phone also has pre-installed app to call for support. This phone comes with dual sim abilities which supports 4g LTE and also has memory card slot which support card upto 128 gb. Huawei has made arrangements such that you may run out of data you will not run out of the space to store it. You can transfer apps to sd card. Overall it is complete package and will recommend it to my friends and family. At a price around 210$ no one comes around.",2.0
Samsung Galaxy Note I717 16GB 4G LTE GSM Android Phone - Carbon Blue (AT&T version),Samsung,119.5,3,Phone freezes and battery has to be charged daily,
BLU Studio C 5+5 LTE Smartphone - GSM Unlocked - Black,BLU,81.58,5,Great phone,0.0
"Samsung Galaxy S5 SM-G900T GSM Unlocked Cell Phone, 16GB - Black (Certified Refurbished)",Samsung,195.99,1,its defective don't buy it,0.0
BLU Advance 5.5 HD -Unlocked Dual Sim Smartphone - US GSM - Gold,BLU,89.99,4,Blue is a nice phone,0.0
Galaxy S5 G900A Factory Unlocked Android Smartphone 16GB White,Samsung,222.0,3,"the phone works great except it won't allow it to be used as a wifi hotspot on any network other than AT&T, i'm using it on Cricket's network that is owned by AT&T so i assumed that it would work like my old S3 did that was also on Crickets network but that was a UK unlocked phone that only had 3G not 4G LTE so i wanted a faster internet but i guess this wasn't the best way of doing it",3.0
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,3,"THE PHONE ARIVED VERY QUICKLY HOW EVER, THE PHONE HAD ALREADY BEEN FLASHED TO A DIFFERENT CARRIER AND I COULDNT USE IT.",1.0
ASUS ZenFone 2 ZE550ML 4G LTE Factory Unlocked (Dual-SIM | 2GB RAM/16GB ROM | OSMIUM BLACK) - International Version No Warranty,ASUS,83.98,4,"very happy with it although I wish it came with instructions in English, only came with Chinese one, thanks",1.0
